"w","U:0","U:1","U:2","StrainRate","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","nu_fluid","p","theta","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0030327,-7.5688e-07,3.4883e-05,-8.4087e-09,0.05315,-7.5693e-07,3.4886e-05,-8.4093e-09,5.7575e-07,-2.6542e-05,6.7051e-09,5.7575e-07,-2.6542e-05,6.7051e-09,1e-10,-3.4815e-17,3.7022e-14,1,0.0115,0.0765,0,0.02
0.004049,-1.0134e-06,4.6687e-05,-1.0463e-08,0.071341,-1.0134e-06,4.669e-05,-1.0464e-08,7.9676e-07,-3.6715e-05,8.7035e-09,7.9676e-07,-3.6715e-05,8.7035e-09,1e-10,-3.4815e-17,8.3028e-14,1,0.01175,0.07675,0,0.02
0.0050652,-1.2698e-06,5.849e-05,-1.2518e-08,0.089532,-1.2699e-06,5.8494e-05,-1.2519e-08,1.0178e-06,-4.6889e-05,1.0702e-08,1.0178e-06,-4.6889e-05,1.0702e-08,1e-10,0,7.0493e-29,1,0.012,0.077,0,0.02
0.0078984,-1.9929e-06,9.1735e-05,-1.6994e-08,0.13446,-1.9931e-06,9.1742e-05,-1.6996e-08,1.6701e-06,-7.6883e-05,1.4944e-08,1.6701e-06,-7.6883e-05,1.4944e-08,1e-10,0,8.0794e-14,1,0.01225,0.07725,0,0.02
0.010732,-2.716e-06,0.00012498,-2.1471e-08,0.17938,-2.7162e-06,0.00012499,-2.1473e-08,2.3225e-06,-0.00010688,1.9185e-08,2.3225e-06,-0.00010688,1.9185e-08,1e-10,0,3.5793e-14,1,0.0125,0.0775,0,0.02
0.013565,-3.439e-06,0.00015823,-2.5948e-08,0.22431,-3.4393e-06,0.00015824,-2.595e-08,2.9749e-06,-0.00013687,2.3427e-08,2.9749e-06,-0.00013687,2.3427e-08,1e-10,3.3727e-17,7.0493e-29,1,0.01275,0.07775,0,0.02
0.019812,-5.0501e-06,0.00023226,-3.3646e-08,0.30853,-5.0506e-06,0.00023228,-3.3649e-08,4.4282e-06,-0.00020365,3.0113e-08,4.4282e-06,-0.00020365,3.0113e-08,1e-10,0,3.5247e-29,1,0.013,0.078,0,0.02
0.026913,-6.8832e-06,0.00031648,-4.215e-08,0.40256,-6.8838e-06,0.00031651,-4.2154e-08,6.0818e-06,-0.00027961,3.7409e-08,6.0818e-06,-0.00027961,3.7409e-08,1e-10,-3.4816e-17,8.682e-15,1,0.01325,0.07825,0,0.02
0.034013,-8.7163e-06,0.00040071,-5.0655e-08,0.4966,-8.7171e-06,0.00040075,-5.0659e-08,7.7354e-06,-0.00035558,4.4706e-08,7.7354e-06,-0.00035558,4.4706e-08,1e-10,0,-3.5247e-29,1,0.0135,0.0785,0,0.02
0.046114,-1.1869e-05,0.0005455,-6.2053e-08,0.6305,-1.187e-05,0.00054555,-6.2058e-08,1.0438e-05,-0.00047967,5.2854e-08,1.0438e-05,-0.00047967,5.2854e-08,1e-10,6.7455e-17,-2.8197e-28,1,0.01375,0.07875,0,0.02
0.061549,-1.5901e-05,0.00073067,-7.538e-08,0.79098,-1.5902e-05,0.00073073,-7.5387e-08,1.3839e-05,-0.00063584,6.1569e-08,1.3839e-05,-0.00063584,6.1569e-08,1e-10,6.7455e-17,-1.7786e-22,1,0.014,0.079,0,0.02
0.076984,-1.9933e-05,0.00091583,-8.8708e-08,0.95145,-1.9935e-05,0.00091591,-8.8715e-08,1.7241e-05,-0.00079201,7.0285e-08,1.7241e-05,-0.00079201,7.0285e-08,1e-10,3.3728e-17,-1.4099e-28,1,0.01425,0.07925,0,0.02
0.097589,-2.5352e-05,0.0011647,-1.0286e-07,1.1329,-2.5355e-05,0.0011648,-1.0287e-07,2.1399e-05,-0.0009829,7.6541e-08,2.1399e-05,-0.0009829,7.6541e-08,1e-10,0,7.0493e-29,1,0.0145,0.0795,0,0.02
0.12595,-3.2854e-05,0.001509,-1.1825e-07,1.3458,-3.2856e-05,0.0015092,-1.1826e-07,2.6693e-05,-0.0012259,7.9109e-08,2.6693e-05,-0.0012259,7.9109e-08,1e-10,0,8.5534e-15,1,0.01475,0.07975,0,0.02
0.15432,-4.0355e-05,0.0018534,-1.3364e-07,1.5587,-4.0358e-05,0.0018535,-1.3365e-07,3.1987e-05,-0.0014689,8.1677e-08,3.1987e-05,-0.0014689,8.1677e-08,1e-10,3.3728e-17,0,1,0.015,0.08,0,0.02
0.18566,-4.8676e-05,0.0022354,-1.4752e-07,1.7693,-4.8679e-05,0.0022355,-1.4753e-07,3.733e-05,-0.0017141,8.0584e-08,3.733e-05,-0.0017141,8.0584e-08,1e-10,0,-7.0493e-29,1,0.01525,0.08025,0,0.02
0.22894,-6.0274e-05,0.0027677,-1.554e-07,1.9704,-6.0279e-05,0.0027679,-1.554e-07,4.2872e-05,-0.0019685,6.4851e-08,4.2872e-05,-0.0019685,6.4851e-08,1e-10,0,3.3332e-14,1,0.0155,0.0805,0,0.02
0.27223,-7.1873e-05,0.0033001,-1.6327e-07,2.1715,-7.1878e-05,0.0033003,-1.6327e-07,4.8415e-05,-0.0022229,4.9118e-08,4.8415e-05,-0.0022229,4.9118e-08,1e-10,3.3727e-17,7.4765e-14,1,0.01575,0.08075,0,0.02
0.31551,-8.3471e-05,0.0038325,-1.7114e-07,2.3726,-8.3477e-05,0.0038327,-1.7114e-07,5.3957e-05,-0.0024773,3.3385e-08,5.3957e-05,-0.0024773,3.3385e-08,1e-10,-3.4815e-17,7.0493e-29,1,0.016,0.081,0,0.02
0.36969,-9.8211e-05,0.004509,-1.5758e-07,2.4704,-9.8217e-05,0.0045092,-1.5758e-07,5.6571e-05,-0.0025971,-2.2201e-10,5.6571e-05,-0.0025971,-2.2201e-10,1e-10,0,7.2851e-14,1,0.01625,0.08125,0,0.02
0.42387,-0.00011295,0.0051854,-1.4401e-07,2.5682,-0.00011296,0.0051857,-1.4401e-07,5.9184e-05,-0.0027169,-3.383e-08,5.9184e-05,-0.0027169,-3.383e-08,1e-10,0,3.2279e-14,1,0.0165,0.0815,0,0.02
0.47805,-0.00012769,0.0058619,-1.3044e-07,2.6661,-0.0001277,0.0058622,-1.3044e-07,6.1797e-05,-0.0028368,-6.7437e-08,6.1797e-05,-0.0028368,-6.7437e-08,1e-10,3.3728e-17,-7.0493e-29,1,0.01675,0.08175,0,0.02
0.53305,-0.00014288,0.006559,-9.6883e-08,2.6381,-0.00014289,0.0065592,-9.6874e-08,6.0527e-05,-0.002778,-9.3237e-08,6.0527e-05,-0.002778,-9.3237e-08,1e-10,3.3728e-17,2.8197e-28,1,0.017,0.082,0,0.02
0.58826,-0.00015819,0.0072611,-5.8324e-08,2.5786,-0.00015819,0.0072614,-5.8312e-08,5.8286e-05,-0.0026747,-1.1708e-07,5.8286e-05,-0.0026747,-1.1708e-07,1e-10,0,4.5225e-14,1,0.01725,0.08225,0,0.02
0.64347,-0.00017349,0.0079633,-1.9763e-08,2.5192,-0.0001735,0.0079636,-1.9749e-08,5.6045e-05,-0.0025713,-1.4093e-07,5.6045e-05,-0.0025713,-1.4093e-07,1e-10,1.088e-18,0,1,0.0175,0.0825,0,0.02
0.6929,-0.00018741,0.0086012,2.2192e-08,2.3835,-0.00018741,0.0086015,2.2206e-08,5.1814e-05,-0.0023765,-1.4419e-07,5.1814e-05,-0.0023765,-1.4419e-07,1e-10,0,-2.8197e-28,1,0.01775,0.08275,0,0.02
0.73848,-0.00020039,0.0091963,6.6411e-08,2.197,-0.00020039,0.0091965,6.6424e-08,4.6256e-05,-0.0021207,-1.3373e-07,4.6256e-05,-0.0021207,-1.3373e-07,1e-10,0,-1.6343e-22,1,0.018,0.083,0,0.02
0.78407,-0.00021337,0.0097914,1.1063e-07,2.0105,-0.00021338,0.0097916,1.1064e-07,4.0697e-05,-0.0018649,-1.2326e-07,4.0697e-05,-0.0018649,-1.2326e-07,1e-10,3.3729e-17,-4.2296e-28,1,0.01825,0.08325,0,0.02
0.8236,-0.00022479,0.010314,1.4619e-07,1.8091,-0.0002248,0.010315,1.462e-07,3.5142e-05,-0.0016095,-1.0533e-07,3.5142e-05,-0.0016095,-1.0533e-07,1e-10,0,3.5247e-29,1,0.0185,0.0835,0,0.02
0.85407,-0.00023387,0.01073,1.6877e-07,1.5854,-0.00023387,0.01073,1.6877e-07,2.9593e-05,-0.0013546,-7.6176e-08,2.9593e-05,-0.0013546,-7.6176e-08,1e-10,-3.4818e-17,7.4096e-15,1,0.01875,0.08375,0,0.02
0.88453,-0.00024294,0.011145,1.9134e-07,1.3618,-0.00024294,0.011145,1.9134e-07,2.4043e-05,-0.0010997,-4.7026e-08,2.4043e-05,-0.0010997,-4.7026e-08,1e-10,0,-1.7623e-29,1,0.019,0.084,0,0.02
0.91237,-0.00025132,0.011528,2.079e-07,1.1461,-0.00025132,0.011528,2.0791e-07,1.8862e-05,-0.00086185,-2.0109e-08,1.8862e-05,-0.00086185,-2.0109e-08,1e-10,3.2643e-17,7.0493e-29,1,0.01925,0.08425,0,0.02
0.92974,-0.00025692,0.011783,2.0044e-07,0.96195,-0.00025692,0.011783,2.0044e-07,1.5154e-05,-0.00069205,-2.1302e-09,1.5154e-05,-0.00069205,-2.1302e-09,1e-10,0,2.8822e-14,1,0.0195,0.0845,0,0.02
0.9471,-0.00026251,0.012039,1.9298e-07,0.77784,-0.00026252,0.012039,1.9298e-07,1.1447e-05,-0.00052225,1.5849e-08,1.1447e-05,-0.00052225,1.5849e-08,1e-10,0,6.4653e-14,1,0.01975,0.08475,0,0.02
0.96447,-0.00026811,0.012294,1.8552e-07,0.59373,-0.00026811,0.012294,1.8551e-07,7.7393e-06,-0.00035245,3.3829e-08,7.7393e-06,-0.00035245,3.3829e-08,1e-10,0,0,1,0.02,0.085,0,0.02
0.97067,-0.00027067,0.01241,1.6692e-07,0.50198,-0.00027067,0.01241,1.6692e-07,6.3244e-06,-0.00028789,3.3811e-08,6.3244e-06,-0.00028789,3.3811e-08,1e-10,0,0,1,0.02025,0.08525,0,0.02
0.97687,-0.00027322,0.012526,1.4833e-07,0.41022,-0.00027322,0.012526,1.4833e-07,4.9094e-06,-0.00022332,3.3792e-08,4.9094e-06,-0.00022332,3.3792e-08,1e-10,0,0,1,0.0205,0.0855,0,0.02
0.98306,-0.00027577,0.012642,1.2974e-07,0.31847,-0.00027577,0.012642,1.2973e-07,3.4945e-06,-0.00015876,3.3774e-08,3.4945e-06,-0.00015876,3.3774e-08,1e-10,0,-3.5247e-29,1,0.02075,0.08575,0,0.02
0.98926,-0.00027832,0.012758,1.1114e-07,0.22672,-0.00027832,0.012758,1.1114e-07,2.0796e-06,-9.4201e-05,3.3756e-08,2.0796e-06,-9.4201e-05,3.3756e-08,1e-10,0,0,1,0.021,0.086,0,0.02
0.99125,-0.00027971,0.012821,9.5463e-08,0.18615,-0.00027971,0.012821,9.546e-08,1.6636e-06,-7.5331e-05,2.8862e-08,1.6636e-06,-7.5331e-05,2.8862e-08,1e-10,0,7.0493e-29,1,0.02125,0.08625,0,0.02
0.99323,-0.00028109,0.012884,7.9784e-08,0.14558,-0.00028109,0.012884,7.9781e-08,1.2477e-06,-5.6462e-05,2.3967e-08,1.2477e-06,-5.6462e-05,2.3967e-08,1e-10,0,1.1521e-22,1,0.0215,0.0865,0,0.02
0.99522,-0.00028248,0.012947,6.4104e-08,0.10501,-0.00028248,0.012947,6.4102e-08,8.3178e-07,-3.7591e-05,1.9073e-08,8.3178e-07,-3.7591e-05,1.9073e-08,1e-10,-3.4825e-17,0,1,0.02175,0.08675,0,0.02
0.99721,-0.00028386,0.01301,4.8425e-08,0.064444,-0.00028386,0.01301,4.8423e-08,4.1586e-07,-1.8722e-05,1.4179e-08,4.1586e-07,-1.8722e-05,1.4179e-08,1e-10,3.265e-17,8.4592e-28,1,0.022,0.087,0,0.02
0.99771,-0.00028483,0.013054,4.0729e-08,0.052394,-0.00028483,0.013054,4.0727e-08,3.2836e-07,-1.4779e-05,1.153e-08,3.2836e-07,-1.4779e-05,1.153e-08,1e-10,0,5.287e-29,1,0.02225,0.08725,0,0.02
0.99821,-0.00028579,0.013098,3.3033e-08,0.040344,-0.00028579,0.013098,3.3032e-08,2.4087e-07,-1.0837e-05,8.8822e-09,2.4087e-07,-1.0837e-05,8.8822e-09,1e-10,0,0,1,0.0225,0.0875,0,0.02
0.9987,-0.00028676,0.013142,2.5336e-08,0.028294,-0.00028676,0.013142,2.5336e-08,1.5338e-07,-6.895e-06,6.2338e-09,1.5338e-07,-6.895e-06,6.2338e-09,1e-10,3.3742e-17,3.5247e-29,1,0.02275,0.08775,0,0.02
0.9992,-0.00028772,0.013186,1.764e-08,0.016244,-0.00028772,0.013186,1.764e-08,6.5883e-08,-2.9528e-06,3.5856e-09,6.5883e-08,-2.9528e-06,3.5856e-09,1e-10,0,-7.0493e-29,1,0.023,0.088,0,0.02
